Narrow Margin,https://en.wikipedia.org//wiki/Narrow_Margin
Navy SEALs (film),https://en.wikipedia.org//wiki/Navy_SEALs_(film)
The NeverEnding Story II: The Next Chapter,https://en.wikipedia.org//wiki/The_NeverEnding_Story_II:_The_Next_Chapter
Night Eyes,https://en.wikipedia.org//wiki/Night_Eyes
Night of the Living Dead (1990 film),https://en.wikipedia.org//wiki/Night_of_the_Living_Dead_(1990_film)
Nightbreed,https://en.wikipedia.org//wiki/Nightbreed
Ninja Academy,https://en.wikipedia.org//wiki/Ninja_Academy
"No Retreat, No Surrender 3: Blood Brothers","https://en.wikipedia.org//wiki/No_Retreat,_No_Surrender_3:_Blood_Brothers"
The Nutcracker Prince,https://en.wikipedia.org//wiki/The_Nutcracker_Prince
Opportunity Knocks (film),https://en.wikipedia.org//wiki/Opportunity_Knocks_(film)
Pacific Heights (1990 film),https://en.wikipedia.org//wiki/Pacific_Heights_(1990_film)
Paris Is Burning (film),https://en.wikipedia.org//wiki/Paris_Is_Burning_(film)
The Pit and the Pendulum (1990 film),https://en.wikipedia.org//wiki/The_Pit_and_the_Pendulum_(1990_film)
Plunder & Lightning,https://en.wikipedia.org//wiki/Plunder_%26_Lightning
Postcards from the Edge (film),https://en.wikipedia.org//wiki/Postcards_from_the_Edge_(film)
Predator 2,https://en.wikipedia.org//wiki/Predator_2
Predator (film),https://en.wikipedia.org//wiki/Predator_(film)
Presumed Innocent (film),https://en.wikipedia.org//wiki/Presumed_Innocent_(film)
Pretty Woman,https://en.wikipedia.org//wiki/Pretty_Woman
Problem Child (1990 film),https://en.wikipedia.org//wiki/Problem_Child_(1990_film)
Prom Night III: The Last Kiss,https://en.wikipedia.org//wiki/Prom_Night_III:_The_Last_Kiss
Psycho IV: The Beginning,https://en.wikipedia.org//wiki/Psycho_IV:_The_Beginning
Psycho (1960 film),https://en.wikipedia.org//wiki/Psycho_(1960_film)
Pump Up the Volume (film),https://en.wikipedia.org//wiki/Pump_Up_the_Volume_(film)
Q&A (film),https://en.wikipedia.org//wiki/Q%26A_(film)
Quick Change,https://en.wikipedia.org//wiki/Quick_Change
Quigley Down Under,https://en.wikipedia.org//wiki/Quigley_Down_Under
Ralph S. Mouse,https://en.wikipedia.org//wiki/Ralph_S._Mouse
The Reflecting Skin (film),https://en.wikipedia.org//wiki/The_Reflecting_Skin_(film)
Repossessed (film),https://en.wikipedia.org//wiki/Repossessed_(film)
The Rescuers Down Under,https://en.wikipedia.org//wiki/The_Rescuers_Down_Under
The Rescuers,https://en.wikipedia.org//wiki/The_Rescuers
Revenge (1990 film),https://en.wikipedia.org//wiki/Revenge_(1990_film)
Reversal of Fortune,https://en.wikipedia.org//wiki/Reversal_of_Fortune
RoboCop 2,https://en.wikipedia.org//wiki/RoboCop_2
Robot Jox,https://en.wikipedia.org//wiki/Robot_Jox
Rock 'n' Roll High School Forever,https://en.wikipedia.org//wiki/Rock_%27n%27_Roll_High_School_Forever
Rocky V,https://en.wikipedia.org//wiki/Rocky_V
Rocky,https://en.wikipedia.org//wiki/Rocky
Roller Coaster Rabbit,https://en.wikipedia.org//wiki/Roller_Coaster_Rabbit
Romeo-Juliet,https://en.wikipedia.org//wiki/Romeo-Juliet
The Rookie (1990 film),https://en.wikipedia.org//wiki/The_Rookie_(1990_film)
Rose Kennedy: A Life to Remember,https://en.wikipedia.org//wiki/Rose_Kennedy:_A_Life_to_Remember
Rosencrantz & Guildenstern Are Dead (film),https://en.wikipedia.org//wiki/Rosencrantz_%26_Guildenstern_Are_Dead_(film)
The Russia House,https://en.wikipedia.org//wiki/The_Russia_House
Shipwrecked (1990 film),https://en.wikipedia.org//wiki/Shipwrecked_(1990_film)
A Shock to the System (1990 film),https://en.wikipedia.org//wiki/A_Shock_to_the_System_(1990_film)
Short Time,https://en.wikipedia.org//wiki/Short_Time
A Show of Force,https://en.wikipedia.org//wiki/A_Show_of_Force
The Shrimp on the Barbie,https://en.wikipedia.org//wiki/The_Shrimp_on_the_Barbie
Sibling Rivalry (film),https://en.wikipedia.org//wiki/Sibling_Rivalry_(film)
Side Out,https://en.wikipedia.org//wiki/Side_Out
Slumber Party Massacre 3,https://en.wikipedia.org//wiki/Slumber_Party_Massacre_3
Sorority House Massacre 2,https://en.wikipedia.org//wiki/Sorority_House_Massacre_2
Snake Eater II: The Drug Buster,https://en.wikipedia.org//wiki/Snake_Eater_II:_The_Drug_Buster
Solar Crisis (film),https://en.wikipedia.org//wiki/Solar_Crisis_(film)
Somebody Has to Shoot the Picture,https://en.wikipedia.org//wiki/Somebody_Has_to_Shoot_the_Picture
Soultaker (film),https://en.wikipedia.org//wiki/Soultaker_(film)
Spaced Invaders,https://en.wikipedia.org//wiki/Spaced_Invaders
Spirit of '76 (1990 film),https://en.wikipedia.org//wiki/Spirit_of_%2776_(1990_film)
Spontaneous Combustion (film),https://en.wikipedia.org//wiki/Spontaneous_Combustion_(film)
Spymaker: The Secret Life of Ian Fleming,https://en.wikipedia.org//wiki/Spymaker:_The_Secret_Life_of_Ian_Fleming
Stanley & Iris,https://en.wikipedia.org//wiki/Stanley_%26_Iris
State of Grace (1990 film),https://en.wikipedia.org//wiki/State_of_Grace_(1990_film)
Stella (1990 film),https://en.wikipedia.org//wiki/Stella_(1990_film)
Strike It Rich (1990 film),https://en.wikipedia.org//wiki/Strike_It_Rich_(1990_film)
Taking Care of Business (film),https://en.wikipedia.org//wiki/Taking_Care_of_Business_(film)
Tales from the Darkside: The Movie,https://en.wikipedia.org//wiki/Tales_from_the_Darkside:_The_Movie
Teenage Mutant Ninja Turtles (1990 film),https://en.wikipedia.org//wiki/Teenage_Mutant_Ninja_Turtles_(1990_film)
Terminal City Ricochet,https://en.wikipedia.org//wiki/Terminal_City_Ricochet
Texasville,https://en.wikipedia.org//wiki/Texasville
The Last Picture Show,https://en.wikipedia.org//wiki/The_Last_Picture_Show
That's Black Entertainment,https://en.wikipedia.org//wiki/That%27s_Black_Entertainment
That's Entertainment!,https://en.wikipedia.org//wiki/That%27s_Entertainment!
Three Men and a Little Lady,https://en.wikipedia.org//wiki/Three_Men_and_a_Little_Lady
Three Men and a Baby,https://en.wikipedia.org//wiki/Three_Men_and_a_Baby
Till There Was You (1990 film),https://en.wikipedia.org//wiki/Till_There_Was_You_(1990_film)
Time of Love,https://en.wikipedia.org//wiki/Time_of_Love
Too Much Sun,https://en.wikipedia.org//wiki/Too_Much_Sun
To Sleep with Anger,https://en.wikipedia.org//wiki/To_Sleep_with_Anger
Total Recall (1990 film),https://en.wikipedia.org//wiki/Total_Recall_(1990_film)
Treasure Island (1990 film),https://en.wikipedia.org//wiki/Treasure_Island_(1990_film)
Tremors (1990 film),https://en.wikipedia.org//wiki/Tremors_(1990_film)
Troll 2,https://en.wikipedia.org//wiki/Troll_2
Quest for the Mighty Sword,https://en.wikipedia.org//wiki/Quest_for_the_Mighty_Sword
Trust (1990 film),https://en.wikipedia.org//wiki/Trust_(1990_film)
Tune in Tomorrow,https://en.wikipedia.org//wiki/Tune_in_Tomorrow
Aunt Julia and the Scriptwriter,https://en.wikipedia.org//wiki/Aunt_Julia_and_the_Scriptwriter
Twisted Obsession,https://en.wikipedia.org//wiki/Twisted_Obsession
The Two Jakes,https://en.wikipedia.org//wiki/The_Two_Jakes
Chinatown (1974 film),https://en.wikipedia.org//wiki/Chinatown_(1974_film)
Vincent & Theo,https://en.wikipedia.org//wiki/Vincent_%26_Theo
Voodoo Dawn,https://en.wikipedia.org//wiki/Voodoo_Dawn
"Welcome Home, Roxy Carmichael","https://en.wikipedia.org//wiki/Welcome_Home,_Roxy_Carmichael"
When You Remember Me,https://en.wikipedia.org//wiki/When_You_Remember_Me
Where the Heart Is (1990 film),https://en.wikipedia.org//wiki/Where_the_Heart_Is_(1990_film)
White Hunter Black Heart,https://en.wikipedia.org//wiki/White_Hunter_Black_Heart
White Palace (film),https://en.wikipedia.org//wiki/White_Palace_(film)
White Room (film),https://en.wikipedia.org//wiki/White_Room_(film)
Why Me? (1990 film),https://en.wikipedia.org//wiki/Why_Me%3F_(1990_film)
Wild Orchid (film),https://en.wikipedia.org//wiki/Wild_Orchid_(film)
Wild at Heart (film),https://en.wikipedia.org//wiki/Wild_at_Heart_(film)
Witchcraft II: The Temptress,https://en.wikipedia.org//wiki/Witchcraft_II:_The_Temptress
The Witches (1990 film),https://en.wikipedia.org//wiki/The_Witches_(1990_film)
Without You I'm Nothing (film),https://en.wikipedia.org//wiki/Without_You_I%27m_Nothing_(film)
Young Guns II,https://en.wikipedia.org//wiki/Young_Guns_II
Young Guns (film),https://en.wikipedia.org//wiki/Young_Guns_(film)
Zapped Again!,https://en.wikipedia.org//wiki/Zapped_Again!
Zapped!,https://en.wikipedia.org//wiki/Zapped!
12:01 PM (1990 film),https://en.wikipedia.org//wiki/12:01_PM_(1990_film)
29th Street (film),https://en.wikipedia.org//wiki/29th_Street_(film)
Across the Tracks,https://en.wikipedia.org//wiki/Across_the_Tracks
The Addams Family (1991 film),https://en.wikipedia.org//wiki/The_Addams_Family_(1991_film)
All I Want for Christmas (film),https://en.wikipedia.org//wiki/All_I_Want_for_Christmas_(film)
An American Tail: Fievel Goes West,https://en.wikipedia.org//wiki/An_American_Tail:_Fievel_Goes_West
An American Tail,https://en.wikipedia.org//wiki/An_American_Tail
And the Sea Will Tell,https://en.wikipedia.org//wiki/And_the_Sea_Will_Tell
Another You,https://en.wikipedia.org//wiki/Another_You
At Play in the Fields of the Lord,https://en.wikipedia.org//wiki/At_Play_in_the_Fields_of_the_Lord
Backdraft (film),https://en.wikipedia.org//wiki/Backdraft_(film)
Barton Fink,https://en.wikipedia.org//wiki/Barton_Fink
Beauty and the Beast (1991 film),https://en.wikipedia.org//wiki/Beauty_and_the_Beast_(1991_film)
Bill & Ted's Bogus Journey,https://en.wikipedia.org//wiki/Bill_%26_Ted%27s_Bogus_Journey
Bill & Ted's Excellent Adventure,https://en.wikipedia.org//wiki/Bill_%26_Ted%27s_Excellent_Adventure
Billy Bathgate (film),https://en.wikipedia.org//wiki/Billy_Bathgate_(film)
